"Delivery","Delivery"
"Pick-up","Pick-up"
"Your order will be delivered with", "Your order will be delivered with"
"Your order will be shipped with", "Your order will be shipped with"
"Ships on this date from the Netherlands", "Ships on this date from the Netherlands"
"on", "on"
"between", "between"
"Click here to choose a different delivery option", "Click here to choose a different delivery option"
"Want to deliver today or another day? Click here", "Want to deliver today or another day? Click here"
"Choose a valid address before you can select a shipping method.", "Choose a valid address before you can select a shipping method."
"Show business hours", "Show business hours"
"Unfortunately, no pick-up points could be found.", "Unfortunately, no pick-up points could be found."
"Select another pick-up point near you below or", "Select another pick-up point near you below or"
"click here", " klik hier "
"to choose another pick-up point", "to choose another pick-up point"
"Select another pick-up point near you below or click here to choose another pick-up point", "Select another pick-up point near you below or click here to choose another pick-up point"
Close,Sluiten
"Show business hours","Show business hours"
"Select pick-up point","Select pick-up point"
"Use selection","Use selection"
"Select delivery option", "Select delivery option"
"Montapacking - Webshop", "Montapacking - Webshop"
"Montapacking - Username", "Montapacking - Gebruikersnaam"
"Montapacking - Password", "Montapacking - Wachtwoord"
"Shipping Cost", "Verzendkosten"
"Pick-up address","Pick-up address"
"Delivery Information","Delivery Information"
"hour","h"
"SignatureOnDelivery", "Signature on delivery"
"NoNeighbour", "No delivery at neighbour"
"EveningDelivery", "Evening delivery"
"SaturdayDelivery", "Saturday delivery"
"SameDayDelivery", "Same day delivery"
"from", "from"
"Monday", "Monday"
"Tuesday", "Tuesday"
"Wednesday", "Wednesday"
"Thursday", "Thursday"
"Friday", "Friday"
"Saturday", "Saturday"
"Sunday", "Sunday"
"Choose your desired additional options", "Choose your desired additional options"

