"Delivery","Bezorging"
"Pick-up","Afhalen"
"Your order will be delivered with", "Uw order wordt bezorgd met"
"Your order will be shipped with",  "Uw order wordt verzonden met"
"Ships on this date from the Netherlands", "Wordt op deze datum verstuurd vanuit Nederland"
"on", "op"
"between", "tussen"
"Click here to choose a different delivery option", "Klik hier om een andere bezorgoptie te kiezen"
"Want to deliver today or another day? Click here", "Wilt u vandaag nog laten bezorgen of op een andere dag? Klik hier"
"Choose a valid address before you can select a shipping method.", "Kies een geldig afleveradres voordat u een verzendmethode kunt selecteren."
"Show business hours", "Toon openingstijden"
"Unfortunately, no pick-up points could be found.", " Er konden helaas geen afhaalpunten gevonden worden."
"Select another pick-up point near you below or", " Selecteer hieronder een ander afhaalpunt of"
"click here", " klik hier "
"to choose another pick-up point", "om een ander afhaalpunt te kiezen"
"Select another pick-up point near you below or click here to choose another pick-up point", "Selecteer hieronder een ander afhaalpunt of klik hier om een ander afhaalpunt te kiezen"
"Close","Sluiten"
"Select pick-up point","Selecteer afhaalpunt"
"Use selection","Gebruik selectie"
"Select delivery option", "Selecteer bezorgoptie"
"Montapacking - Webshop", "Montapacking - Webshop"
"Montapacking - Username", "Montapacking - Username"
"Montapacking - Password", "Montapacking - Password"
"Shipping Cost", "Verzendkosten"
"Pick-up address","Afhaaladres"
"Delivery Information","Bezorginformatie"
"hour"," uur"
"SignatureOnDelivery", "Tekenen bij ontvangst"
"NoNeighbour", "Niet bij de buren afleveren"
"EveningDelivery", "In avond afleveren"
"SaturdayDelivery", "Zaterdag levering"
"SameDayDelivery", "Zelfde dag levering"
"from", "v.a."
"Monday", "Maandag"
"Tuesday", "Dinsdag"
"Wednesday", "Woensdag"
"Thursday", "Donderdag"
"Friday", "Vrijdag"
"Saturday", "Zaterdag"
"Sunday", "Zondag"
"January", "januari"
"February", "februari"
"March", "maart"
"April", "april"
"May", "mei"
"June", "juni"
"July", "juli"
"August", "augustus"
"September", "september"
"October", "october"
"November", "november"
"December", "december"
"Choose your desired additional options", "Kies uw gewenste extra opties"
"Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly.", "Selecteer een bezorgoptie. Als er geen opties zichtbaar zijn, controleer dan of u uw adresgegevens correct heeft ingevoerd."
"Post number", "Post nummer"
"Please select a postnumber. This is mandatory for pack stations", "Please select a postnumber. This is mandatory for pack stations"






